Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
COVID,200,COVID208,Proteome_Li_Urine-recovery-vs-healthy_Up,,-3,9.3,5.4,30244,152,86,4,4.7,2.3,128|353|2203|2745,ADH5|APRT|FBP1|GLRX,-0.58,MyList
DisGeNET,35,C0023904,"Liver Neoplasms, Experimental",,-3,9.3,5.4,30244,152,86,4,4.7,2.3,158|538|1841|5471,ADSL|ATP7A|DTYMK|PPAT,-0.58,MyList
DisGeNET,35,C0238621,Aminoaciduria,,-3,16,6.4,30244,68,86,3,3.5,2,1352|2271|2582,COX10|FH|GALE,-0.57,MyList
COVID,200,COVID256,RNA_Wilk_CD14+Monocytes_patient-C6_Up,,-3,9.1,5.4,30244,154,86,4,4.7,2.3,2023|2180|5226|5230,ENO1|ACSL1|PGD|PGK1,-0.57,MyList
DisGeNET,35,C0011265,Presenile dementia,,-3,3.9,4.2,30244,718,86,8,9.3,3.1,158|538|1738|2023|3417|5723|6652|7167,ADSL|ATP7A|DLD|ENO1|IDH1|PSPH|SORD|TPI1,-0.56,MyList
DisGeNET,35,C0013146,Drug abuse,,-3,5.2,4.6,30244,404,86,6,7,2.7,2023|2108|3313|4482|26227|55902,ENO1|ETFA|HSPA9|MSRA|PHGDH|ACSS2,-0.55,MyList
Transcription Factor Targets,16,M18461,ARNT 01,,-3,6.5,4.8,30244,271,86,5,5.8,2.5,3329|4817|5471|6470|25996,HSPD1|NIT1|PPAT|SHMT1|REXO2,-0.54,MyList
DisGeNET,35,C0220668,Congenital contractural arachnodactyly,,-3,4.4,4.3,30244,559,86,7,8.1,2.9,353|2023|2098|2203|3320|3417|55902,APRT|ENO1|ESD|FBP1|HSP90AA1|IDH1|ACSS2,-0.54,MyList
DisGeNET,35,C0454644,Delayed speech and language development,,-3,4.4,4.3,30244,560,86,7,8.1,2.9,16|158|2582|5230|25973|63931|84340,AARS1|ADSL|GALE|PGK1|PARS2|MRPS14|GFM2,-0.54,MyList
DisGeNET,35,C0029459,"Osteoporosis, Senile",,-2.9,14,6.1,30244,73,86,3,3.5,2,2023|2820|7167,ENO1|GPD2|TPI1,-0.51,MyList
DisGeNET,35,C0016522,"Foramen Ovale, Patent",,-2.9,14,6.1,30244,73,86,3,3.5,2,3313|6888|26227,HSPA9|TALDO1|PHGDH,-0.51,MyList
DisGeNET,35,C1836038,Poor head control,,-2.9,8.7,5.2,30244,162,86,4,4.7,2.3,16|2673|25973|57038,AARS1|GFPT1|PARS2|RARS2,-0.51,MyList
DisGeNET,35,C4551683,Adrenal Gland Pheochromocytoma,,-2.9,5.1,4.5,30244,416,86,6,7,2.7,48|353|2271|3320|3417|6652,ACO1|APRT|FH|HSP90AA1|IDH1|SORD,-0.51,MyList
DisGeNET,35,C4529962,Fatty Liver Disease,,-2.9,3.8,4.1,30244,741,86,8,9.3,3.1,48|1737|2180|2745|4357|25813|26227|55902,ACO1|DLAT|ACSL1|GLRX|MPST|SAMM50|PHGDH|ACSS2,-0.51,MyList
DisGeNET,35,C0020541,Portal Hypertension,,-2.9,8.4,5.1,30244,167,86,4,4.7,2.3,2632|3320|10056|27430,GBE1|HSP90AA1|FARSB|MAT2B,-0.48,MyList
COVID,200,COVID246,RNA_Wilk_CD14+Monocytes_patient-C1B-severe_Up,,-2.9,14,6,30244,77,86,3,3.5,2,2023|2180|5226,ENO1|ACSL1|PGD,-0.46,MyList
Transcription Factor Targets,16,M30191,TASOR TARGET GENES,,-2.8,6.1,4.6,30244,290,86,5,5.8,2.5,1737|1738|3376|25996|51021,DLAT|DLD|IARS1|REXO2|MRPS16,-0.45,MyList
DisGeNET,35,C0037763,Spasm,,-2.8,8.2,5,30244,172,86,4,4.7,2.3,1738|2673|5230|26227,DLD|GFPT1|PGK1|PHGDH,-0.44,MyList
DisGeNET,35,C0162309,Adrenoleukodystrophy,,-2.8,6,4.6,30244,294,86,5,5.8,2.5,128|353|1737|3313|3329,ADH5|APRT|DLAT|HSPA9|HSPD1,-0.43,MyList
Transcription Factor Targets,16,M30180,SRPK2 TARGET GENES,,-2.8,13,5.8,30244,80,86,3,3.5,2,586|55902|123283,BCAT1|ACSS2|TARS3,-0.43,MyList
DisGeNET,35,C0022665,Kidney Neoplasm,,-2.8,6,4.6,30244,295,86,5,5.8,2.5,353|2271|3320|4357|6652,APRT|FH|HSP90AA1|MPST|SORD,-0.43,MyList
DisGeNET,35,C0206693,Medullary carcinoma,,-2.8,13,5.8,30244,81,86,3,3.5,2,3320|6470|26227,HSP90AA1|SHMT1|PHGDH,-0.42,MyList
COVID,200,COVID341,RNA_Wilk_B-cells_patient-C3_Up,,-2.8,13,5.7,30244,82,86,3,3.5,2,2023|3320|3329,ENO1|HSP90AA1|HSPD1,-0.41,MyList
Cell Type Signatures,7,M41708,FAN OVARY CL6 PUTATIVE EARLY ATRETIC FOLLICLE THECAL CELL 2,,-2.8,5.9,4.5,30244,300,86,5,5.8,2.5,128|2098|4357|6888|25996,ADH5|ESD|MPST|TALDO1|REXO2,-0.41,MyList
COVID,200,COVID037,RNA_Sun_Calu-3_12h_Down,,-2.8,5.9,4.5,30244,300,86,5,5.8,2.5,2023|3417|5230|7167|55173,ENO1|IDH1|PGK1|TPI1|MRPS10,-0.41,MyList
COVID,200,COVID039,RNA_Sun_Calu-3_24h_Down,,-2.8,5.9,4.5,30244,300,86,5,5.8,2.5,2673|3329|3376|3417|5230,GFPT1|HSPD1|IARS1|IDH1|PGK1,-0.41,MyList
DisGeNET,35,C0017168,Gastroesophageal reflux disease,,-2.8,4.7,4.2,30244,446,86,6,7,2.7,16|538|5723|10056|25973|26227,AARS1|ATP7A|PSPH|FARSB|PARS2|PHGDH,-0.4,MyList
DisGeNET,35,C0033377,Ptosis,,-2.8,4.1,4.1,30244,607,86,7,8.1,2.9,16|1352|1737|2023|2673|5723|25973,AARS1|COX10|DLAT|ENO1|GFPT1|PSPH|PARS2,-0.4,MyList
Cell Type Signatures,7,M39203,HAY BONE MARROW NEUTROPHIL,,-2.7,4.7,4.2,30244,449,86,6,7,2.7,2180|2203|5226|6888|55902|79587,ACSL1|FBP1|PGD|TALDO1|ACSS2|CARS2,-0.39,MyList
DisGeNET,35,C2674608,Feeding difficulties in infancy,,-2.7,5.8,4.5,30244,305,86,5,5.8,2.5,538|3329|25973|51021|55163,ATP7A|HSPD1|PARS2|MRPS16|PNPO,-0.39,MyList
DisGeNET,35,C3806467,Respiratory insufficiency due to muscle weakness,,-2.7,12,5.6,30244,85,86,3,3.5,2,1352|2673|7167,COX10|GFPT1|TPI1,-0.39,MyList
DisGeNET,35,C0339525,Autosomal dominant retinitis pigmentosa,,-2.7,12,5.6,30244,85,86,3,3.5,2,3320|3614|5230,HSP90AA1|IMPDH1|PGK1,-0.39,MyList
DisGeNET,35,C1847584,Distal sensory impairment,,-2.7,12,5.6,30244,86,86,3,3.5,2,16|2632|3735,AARS1|GBE1|KARS1,-0.38,MyList
DisGeNET,35,C1266042,Chromophobe Renal Cell Carcinoma,,-2.7,7.6,4.8,30244,185,86,4,4.7,2.3,353|3313|3329|5230,APRT|HSPA9|HSPD1|PGK1,-0.38,MyList
DisGeNET,35,C0027831,Neurofibromatosis 1,,-2.7,5.7,4.4,30244,311,86,5,5.8,2.5,353|2271|3417|5226|6652,APRT|FH|IDH1|PGD|SORD,-0.38,MyList
Cell Type Signatures,7,M40010,BUSSLINGER GASTRIC ISTHMUS CELLS,,-2.7,4.6,4.2,30244,458,86,6,7,2.7,2023|2203|2582|3320|3329|6888,ENO1|FBP1|GALE|HSP90AA1|HSPD1|TALDO1,-0.38,MyList
DisGeNET,35,C1167918,Increased CSF lactate,,-2.7,12,5.5,30244,87,86,3,3.5,2,1352|57038|84340,COX10|RARS2|GFM2,-0.38,MyList
DisGeNET,35,C0151888,Hyporeflexia,,-2.7,5.6,4.4,30244,312,86,5,5.8,2.5,16|538|3735|7167|25973,AARS1|ATP7A|KARS1|TPI1|PARS2,-0.38,MyList
DisGeNET,35,C1708349,Hereditary Diffuse Gastric Cancer,,-2.7,5.6,4.4,30244,312,86,5,5.8,2.5,2023|2203|3329|64963|80324,ENO1|FBP1|HSPD1|MRPS11|PUS1,-0.38,MyList
DisGeNET,35,C0001787,"Osteoporosis, Age-Related",,-2.7,12,5.5,30244,89,86,3,3.5,2,2023|2820|7167,ENO1|GPD2|TPI1,-0.35,MyList
DisGeNET,35,C0740277,Bile duct carcinoma,,-2.6,12,5.4,30244,91,86,3,3.5,2,353|1737|3320,APRT|DLAT|HSP90AA1,-0.33,MyList
Cell Type Signatures,7,M40026,BUSSLINGER DUODENAL TRANSIT AMPLIFYING CELLS,,-2.6,7.3,4.7,30244,194,86,4,4.7,2.3,2023|2098|3329|7167,ENO1|ESD|HSPD1|TPI1,-0.32,MyList
DisGeNET,35,C0020305,Hydrops Fetalis,,-2.6,11,5.4,30244,92,86,3,3.5,2,2632|6888|57038,GBE1|TALDO1|RARS2,-0.32,MyList
DisGeNET,35,C3887898,Infantile Spasm,,-2.6,11,5.3,30244,93,86,3,3.5,2,25973|55163|57038,PARS2|PNPO|RARS2,-0.32,MyList
DisGeNET,35,C1844704,Platyspondyly,,-2.6,11,5.3,30244,93,86,3,3.5,2,538|3417|5479,ATP7A|IDH1|PPIB,-0.32,MyList
DisGeNET,35,C0740394,Hyperuricemia,,-2.6,7.2,4.6,30244,196,86,4,4.7,2.3,2108|2203|3313|5723,ETFA|FBP1|HSPA9|PSPH,-0.32,MyList
COVID,200,COVID198,Ubiquitinome_Stukalov_A549-ACE2_24h_Down,,-2.6,7.2,4.6,30244,196,86,4,4.7,2.3,2023|3329|3376|26227,ENO1|HSPD1|IARS1|PHGDH,-0.32,MyList
DisGeNET,35,C0019348,Herpes Simplex Infections,,-2.6,3.8,3.9,30244,645,86,7,8.1,2.9,1841|2108|3313|3320|3329|5479|26227,DTYMK|ETFA|HSPA9|HSP90AA1|HSPD1|PPIB|PHGDH,-0.31,MyList
Transcription Factor Targets,16,M30399,ZNF85 TARGET GENES,,-2.6,5.4,4.2,30244,327,86,5,5.8,2.5,4528|5834|51263|84340|112487,MTIF2|PYGB|MRPL30|GFM2|DTD2,-0.31,MyList
DisGeNET,35,C0238462,Medullary carcinoma of thyroid,,-2.6,5.3,4.2,30244,330,86,5,5.8,2.5,353|3313|3320|6652|22934,APRT|HSPA9|HSP90AA1|SORD|RPIA,-0.3,MyList
DisGeNET,35,C0013132,Drooling,,-2.6,11,5.3,30244,95,86,3,3.5,2,1737|84340|100528021,DLAT|GFM2|ST20-MTHFS,-0.3,MyList
Cell Type Signatures,7,M39195,HAY BONE MARROW EARLY ERYTHROBLAST,,-2.6,11,5.3,30244,95,86,3,3.5,2,6652|6723|55163,SORD|SRM|PNPO,-0.3,MyList
DisGeNET,35,C0442874,Neuropathy,,-2.6,4.4,4,30244,483,86,6,7,2.7,16|353|3313|3320|3417|7167,AARS1|APRT|HSPA9|HSP90AA1|IDH1|TPI1,-0.3,MyList
DisGeNET,35,C0234146,Absent reflex,,-2.6,7,4.6,30244,201,86,4,4.7,2.3,16|2673|3735|79587,AARS1|GFPT1|KARS1|CARS2,-0.3,MyList
DisGeNET,35,C1836830,Developmental regression,,-2.6,5.3,4.2,30244,333,86,5,5.8,2.5,16|538|25973|79587|84340,AARS1|ATP7A|PARS2|CARS2|GFM2,-0.3,MyList
DisGeNET,35,C0041234,Chagas Disease,,-2.6,7,4.5,30244,202,86,4,4.7,2.3,3329|6723|7167|22934,HSPD1|SRM|TPI1|RPIA,-0.3,MyList
Transcription Factor Targets,16,M30070,MSX1 TARGET GENES,,-2.6,7,4.5,30244,202,86,4,4.7,2.3,1738|2745|3329|63931,DLD|GLRX|HSPD1|MRPS14,-0.3,MyList
DisGeNET,35,C4025814,Abnormality of the metaphysis,,-2.6,11,5.2,30244,97,86,3,3.5,2,538|3417|6729,ATP7A|IDH1|SRP54,-0.29,MyList
DisGeNET,35,C0424230,Motor retardation,,-2.6,11,5.2,30244,98,86,3,3.5,2,1352|1737|22934,COX10|DLAT|RPIA,-0.28,MyList
Transcription Factor Targets,16,M402,TTCYRGAA UNKNOWN,,-2.5,5.2,4.1,30244,340,86,5,5.8,2.5,3313|3329|3417|5236|25973,HSPA9|HSPD1|IDH1|PGM1|PARS2,-0.27,MyList
Cell Type Signatures,7,M39218,ZHENG CORD BLOOD C9 GRANULOCYTE MACROPHAGE PROGENITOR,,-2.5,11,5.1,30244,100,86,3,3.5,2,2023|3320|3329,ENO1|HSP90AA1|HSPD1,-0.27,MyList
Cell Type Signatures,7,M39212,ZHENG CORD BLOOD C3 MEGAKARYOCYTE ERYTHROID PROGENITOR,,-2.5,11,5.1,30244,100,86,3,3.5,2,2235|3320|25996,FECH|HSP90AA1|REXO2,-0.27,MyList
Transcription Factor Targets,16,M30100,NR1I2 TARGET GENES,,-2.5,5.1,4.1,30244,342,86,5,5.8,2.5,2023|2108|3614|5471|80324,ENO1|ETFA|IMPDH1|PPAT|PUS1,-0.27,MyList
DisGeNET,35,C0008354,Cholera,,-2.5,6.7,4.4,30244,209,86,4,4.7,2.3,353|2023|3320|3329,APRT|ENO1|HSP90AA1|HSPD1,-0.26,MyList
DisGeNET,35,C0036529,"Myocardial Diseases, Secondary",,-2.5,10,5.1,30244,101,86,3,3.5,2,353|2180|3329,APRT|ACSL1|HSPD1,-0.26,MyList
DisGeNET,35,C0023283,"Leishmaniasis, Cutaneous",,-2.5,10,5,30244,102,86,3,3.5,2,2271|5226|26227,FH|PGD|PHGDH,-0.26,MyList
DisGeNET,35,C0013295,Duodenal Ulcer,,-2.5,10,5,30244,102,86,3,3.5,2,48|1841|3329,ACO1|DTYMK|HSPD1,-0.26,MyList
DisGeNET,35,C0282577,Congenital Disorders of Glycosylation,,-2.5,10,5,30244,102,86,3,3.5,2,353|1738|5236,APRT|DLD|PGM1,-0.26,MyList
DisGeNET,35,C0239676,High forehead,,-2.5,6.7,4.4,30244,211,86,4,4.7,2.3,16|538|2108|25973,AARS1|ATP7A|ETFA|PARS2,-0.26,MyList
DisGeNET,35,C1332201,Adult Diffuse Large B-Cell Lymphoma,,-2.5,4.2,3.9,30244,504,86,6,7,2.7,2108|2203|3320|3417|6723|26227,ETFA|FBP1|HSP90AA1|IDH1|SRM|PHGDH,-0.25,MyList
DisGeNET,35,C1837142,Poor suck,,-2.5,10,5,30244,103,86,3,3.5,2,538|6888|57038,ATP7A|TALDO1|RARS2,-0.25,MyList
DisGeNET,35,C0270685,Cerebral calcification,,-2.5,10,5,30244,103,86,3,3.5,2,538|10056|26227,ATP7A|FARSB|PHGDH,-0.25,MyList
DisGeNET,35,C0039273,Talipes cavus,,-2.5,6.6,4.4,30244,213,86,4,4.7,2.3,16|538|3329|3735,AARS1|ATP7A|HSPD1|KARS1,-0.25,MyList
DisGeNET,35,C0598589,Inherited neuropathies,,-2.5,10,5,30244,104,86,3,3.5,2,538|3320|3735,ATP7A|HSP90AA1|KARS1,-0.25,MyList
Transcription Factor Targets,16,M30105,OVOL3 TARGET GENES,,-2.5,4.2,3.8,30244,508,86,6,7,2.7,158|1503|4528|5471|63931|79587,ADSL|CTPS1|MTIF2|PPAT|MRPS14|CARS2,-0.25,MyList
Transcription Factor Targets,16,M40690,TBX3 TARGET GENES,,-2.5,5,4,30244,351,86,5,5.8,2.5,16|3704|5723|7360|64960,AARS1|ITPA|PSPH|UGP2|MRPS15,-0.25,MyList
DisGeNET,35,C0014868,Esophagitis,,-2.5,10,5,30244,105,86,3,3.5,2,538|5723|26227,ATP7A|PSPH|PHGDH,-0.24,MyList
DisGeNET,35,C3469521,"FANCONI ANEMIA, COMPLEMENTATION GROUP A (disorder)",,-2.4,4.9,4,30244,359,86,5,5.8,2.5,128|2745|3320|5723|26227,ADH5|GLRX|HSP90AA1|PSPH|PHGDH,-0.21,MyList
DisGeNET,35,C0086437,Joint laxity,,-2.4,6.3,4.2,30244,224,86,4,4.7,2.3,538|2673|3376|10056,ATP7A|GFPT1|IARS1|FARSB,-0.19,MyList
DisGeNET,35,C1257931,"Mammary Neoplasms, Human",,-2.4,4,3.7,30244,527,86,6,7,2.7,353|2023|3320|6470|26227|51081,APRT|ENO1|HSP90AA1|SHMT1|PHGDH|MRPS7,-0.19,MyList
DisGeNET,35,C0040822,Tremor,,-2.4,4,3.7,30244,528,86,6,7,2.7,16|538|2271|5230|7167|25973,AARS1|ATP7A|FH|PGK1|TPI1|PARS2,-0.19,MyList
DisGeNET,35,C4525305,Stage IV Gallbladder Cancer AJCC v8,,-2.4,4.8,3.9,30244,367,86,5,5.8,2.5,353|3320|3329|3417|5230,APRT|HSP90AA1|HSPD1|IDH1|PGK1,-0.19,MyList
DisGeNET,35,C4525301,Stage IIB Gallbladder Cancer AJCC v8,,-2.4,4.8,3.9,30244,367,86,5,5.8,2.5,353|3320|3329|3417|5230,APRT|HSP90AA1|HSPD1|IDH1|PGK1,-0.19,MyList
DisGeNET,35,C4525297,Stage 0 Gallbladder Cancer AJCC v8,,-2.4,4.8,3.9,30244,367,86,5,5.8,2.5,353|3320|3329|3417|5230,APRT|HSP90AA1|HSPD1|IDH1|PGK1,-0.19,MyList
DisGeNET,35,C4525300,Stage IIA Gallbladder Cancer AJCC v8,,-2.4,4.8,3.9,30244,367,86,5,5.8,2.5,353|3320|3329|3417|5230,APRT|HSP90AA1|HSPD1|IDH1|PGK1,-0.19,MyList
DisGeNET,35,C4525302,Stage III Gallbladder Cancer AJCC v8,,-2.4,4.8,3.9,30244,367,86,5,5.8,2.5,353|3320|3329|3417|5230,APRT|HSP90AA1|HSPD1|IDH1|PGK1,-0.19,MyList
Cell Type Signatures,7,M39118,AIZARANI LIVER C14 HEPATOCYTES 2,,-2.4,6.2,4.2,30244,226,86,4,4.7,2.3,2203|4357|6470|6652,FBP1|MPST|SHMT1|SORD,-0.19,MyList
DisGeNET,35,C0040558,Toxoplasmosis,,-2.4,9.4,4.8,30244,112,86,3,3.5,2,48|3329|7167,ACO1|HSPD1|TPI1,-0.19,MyList
Transcription Factor Targets,16,M40790,SRCAP TARGET GENES,,-2.4,4,3.7,30244,530,86,6,7,2.7,2820|3735|5018|7360|25996|51021,GPD2|KARS1|OXA1L|UGP2|REXO2|MRPS16,-0.19,MyList
DisGeNET,35,C0038220,Status Epilepticus,,-2.4,4,3.7,30244,533,86,6,7,2.7,16|2271|3704|25973|55163|79587,AARS1|FH|ITPA|PARS2|PNPO|CARS2,-0.18,MyList
Cell Type Signatures,7,M41719,FAN OVARY CL17 PUTATIVE APOPTOTIC SMOOTH MUSCLE CELL,,-2.4,6.1,4.1,30244,231,86,4,4.7,2.3,3313|3320|3329|64983,HSPA9|HSP90AA1|HSPD1|MRPL32,-0.16,MyList
DisGeNET,35,C0151889,Hyperreflexia,,-2.4,3.9,3.6,30244,539,86,6,7,2.7,1352|1737|3329|3614|25973|57038,COX10|DLAT|HSPD1|IMPDH1|PARS2|RARS2,-0.16,MyList
DisGeNET,35,C0427065,Distal muscle weakness,,-2.3,9,4.6,30244,117,86,3,3.5,2,16|538|2673,AARS1|ATP7A|GFPT1,-0.14,MyList
DisGeNET,35,C4704874,"Mammary Carcinoma, Human",,-2.3,3.9,3.6,30244,545,86,6,7,2.7,353|2023|3320|6470|26227|51081,APRT|ENO1|HSP90AA1|SHMT1|PHGDH|MRPS7,-0.14,MyList
DisGeNET,35,C0023470,Myeloid Leukemia,,-2.3,4.6,3.8,30244,385,86,5,5.8,2.5,586|2235|3313|3320|3417,BCAT1|FECH|HSPA9|HSP90AA1|IDH1,-0.12,MyList
DisGeNET,35,C0521158,Recurrent tumor,,-2.3,3.3,3.4,30244,735,86,7,8.1,2.9,2098|2180|2203|3313|3320|3329|3417,ESD|ACSL1|FBP1|HSPA9|HSP90AA1|HSPD1|IDH1,-0.12,MyList
DisGeNET,35,C0278595,Adult Fibrosarcoma,,-2.3,4.5,3.7,30244,387,86,5,5.8,2.5,353|1738|3320|3329|3417,APRT|DLD|HSP90AA1|HSPD1|IDH1,-0.12,MyList
DisGeNET,35,C0022346,Icterus,,-2.3,5.8,4,30244,241,86,4,4.7,2.3,538|2108|2582|7167,ATP7A|ETFA|GALE|TPI1,-0.12,MyList
DisGeNET,35,C0014877,Esotropia,,-2.3,8.7,4.5,30244,121,86,3,3.5,2,26227|54802|100528021,PHGDH|TRIT1|ST20-MTHFS,-0.12,MyList
DisGeNET,35,C0333307,Superficial ulcer,,-2.3,5.8,4,30244,242,86,4,4.7,2.3,2023|3320|3329|7167,ENO1|HSP90AA1|HSPD1|TPI1,-0.11,MyList
Transcription Factor Targets,16,M29979,GLI3 TARGET GENES,,-2.3,3.3,3.4,30244,742,86,7,8.1,2.9,353|2745|3320|3376|5471|7360|51081,APRT|GLRX|HSP90AA1|IARS1|PPAT|UGP2|MRPS7,-0.1,MyList
DisGeNET,35,C3805574,Increased fracture rate,,-2.3,8.6,4.5,30244,123,86,3,3.5,2,538|3417|5479,ATP7A|IDH1|PPIB,-0.1,MyList
DisGeNET,35,C0282160,Aplasia Cutis Congenita,,-2.3,4.5,3.7,30244,392,86,5,5.8,2.5,3313|3320|3329|6652|27430,HSPA9|HSP90AA1|HSPD1|SORD|MAT2B,-0.1,MyList
Cell Type Signatures,7,M41706,FAN OVARY CL4 T LYMPHOCYTE NK CELL 1,,-2.3,5.7,4,30244,246,86,4,4.7,2.3,2023|2987|3320|5230,ENO1|GUK1|HSP90AA1|PGK1,-0.097,MyList
Transcription Factor Targets,16,M30020,HSF2 TARGET GENES,,-2.3,5.7,4,30244,246,86,4,4.7,2.3,3320|3329|5230|5723,HSP90AA1|HSPD1|PGK1|PSPH,-0.097,MyList
Transcription Factor Targets,16,M401,GCGNNANTTCC UNKNOWN,,-2.3,8.4,4.5,30244,125,86,3,3.5,2,158|3329|79693,ADSL|HSPD1|YRDC,-0.092,MyList
DisGeNET,35,C0035304,Retinal Degeneration,,-2.3,8.4,4.5,30244,125,86,3,3.5,2,16|3614|25973,AARS1|IMPDH1|PARS2,-0.092,MyList
Transcription Factor Targets,16,M40813,ZNF784 TARGET GENES,,-2.3,4.4,3.7,30244,397,86,5,5.8,2.5,2987|4528|51021|51263|84340,GUK1|MTIF2|MRPS16|MRPL30|GFM2,-0.09,MyList
DisGeNET,35,C0013604,Edema,,-2.3,8.4,4.4,30244,126,86,3,3.5,2,2235|2632|51021,FECH|GBE1|MRPS16,-0.089,MyList
DisGeNET,35,C0220810,Congenital defects,,-2.3,8.4,4.4,30244,126,86,3,3.5,2,3320|5226|6470,HSP90AA1|PGD|SHMT1,-0.089,MyList
DisGeNET,35,C0029124,Optic Atrophy,,-2.2,3.7,3.5,30244,568,86,6,7,2.7,16|1352|2271|3614|22934|25973,AARS1|COX10|FH|IMPDH1|RPIA|PARS2,-0.087,MyList
DisGeNET,35,C4025846,Abnormality of vision,,-2.2,8.3,4.4,30244,127,86,3,3.5,2,16|7360|25973,AARS1|UGP2|PARS2,-0.083,MyList
COVID,200,COVID155,Proteome_Stukalov_A549_72h_NSP1_Up,,-2.2,8.2,4.4,30244,128,86,3,3.5,2,4817|5236|26227,NIT1|PGM1|PHGDH,-0.075,MyList
DisGeNET,35,C0015672,Fatigue,,-2.2,3.2,3.3,30244,759,86,7,8.1,2.9,128|353|538|1737|2271|6723|55902,ADH5|APRT|ATP7A|DLAT|FH|SRM|ACSS2,-0.074,MyList
DisGeNET,35,C0079924,Oligohydramnios,,-2.2,8.2,4.4,30244,129,86,3,3.5,2,3313|6888|10056,HSPA9|TALDO1|FARSB,-0.07,MyList
Cell Type Signatures,7,M40014,BUSSLINGER GASTRIC PARIETAL CELLS,,-2.2,5.5,3.9,30244,254,86,4,4.7,2.3,1738|2271|3313|25996,DLD|FH|HSPA9|REXO2,-0.07,MyList
DisGeNET,35,C0018939,Hematological Disease,,-2.2,5.5,3.9,30244,255,86,4,4.7,2.3,2108|3313|3376|3417,ETFA|HSPA9|IARS1|IDH1,-0.066,MyList
DisGeNET,35,C0020433,Hyperbilirubinemia,,-2.2,8.1,4.3,30244,131,86,3,3.5,2,2271|3704|5230,FH|ITPA|PGK1,-0.057,MyList
Transcription Factor Targets,16,M12874,MYCMAX 01,,-2.2,5.5,3.8,30244,257,86,4,4.7,2.3,3313|5471|25996|80324,HSPA9|PPAT|REXO2|PUS1,-0.057,MyList
Transcription Factor Targets,16,M14141,NRF2 Q4,,-2.2,5.5,3.8,30244,258,86,4,4.7,2.3,2023|3313|25996|64983,ENO1|HSPA9|REXO2|MRPL32,-0.053,MyList
DisGeNET,35,C0476273,Respiratory distress,,-2.2,5.4,3.8,30244,259,86,4,4.7,2.3,1352|2108|2203|6729,COX10|ETFA|FBP1|SRP54,-0.05,MyList
DisGeNET,35,C1449563,"Cardiomyopathy, Familial Idiopathic",,-2.2,3.2,3.3,30244,772,86,7,8.1,2.9,2023|2632|3313|3320|3417|5236|55163,ENO1|GBE1|HSPA9|HSP90AA1|IDH1|PGM1|PNPO,-0.05,MyList
DisGeNET,35,C0205645,"Adenocarcinoma, Tubular",,-2.2,7.9,4.3,30244,133,86,3,3.5,2,2023|2098|3329,ENO1|ESD|HSPD1,-0.049,MyList
DisGeNET,35,C0016057,Fibrosarcoma,,-2.2,4.3,3.6,30244,413,86,5,5.8,2.5,353|1738|3320|3329|3417,APRT|DLD|HSP90AA1|HSPD1|IDH1,-0.049,MyList
Transcription Factor Targets,16,M30144,RORA TARGET GENES,,-2.2,5.4,3.8,30244,262,86,4,4.7,2.3,3313|27430|51263|84340,HSPA9|MAT2B|MRPL30|GFM2,-0.039,MyList
DisGeNET,35,C0038436,Post-Traumatic Stress Disorder,,-2.2,4.2,3.5,30244,417,86,5,5.8,2.5,2108|3320|4357|6723|54802,ETFA|HSP90AA1|MPST|SRM|TRIT1,-0.035,MyList
DisGeNET,35,C0040034,Thrombocytopenia,,-2.2,3.6,3.4,30244,592,86,6,7,2.7,538|2582|3704|6729|6888|26227,ATP7A|GALE|ITPA|SRP54|TALDO1|PHGDH,-0.033,MyList
COVID,200,COVID027,RNA_Lamers_intestinal-organoid_expansion_Down,,-2.2,5.3,3.8,30244,264,86,4,4.7,2.3,2673|5230|7360|55902,GFPT1|PGK1|UGP2|ACSS2,-0.033,MyList
DisGeNET,35,C1854114,Short nose,,-2.2,5.3,3.8,30244,265,86,4,4.7,2.3,158|3313|25973|80324,ADSL|HSPA9|PARS2|PUS1,-0.029,MyList
DisGeNET,35,C0008370,Cholestasis,,-2.2,4.2,3.5,30244,420,86,5,5.8,2.5,128|586|1737|2271|10056,ADH5|BCAT1|DLAT|FH|FARSB,-0.029,MyList
Transcription Factor Targets,16,M29995,HES4 TARGET GENES,,-2.1,3.5,3.3,30244,597,86,6,7,2.7,2023|3376|55163|64960|79587|84340,ENO1|IARS1|PNPO|MRPS15|CARS2|GFM2,-0.022,MyList
DisGeNET,35,C0158731,Congenital pectus carinatum,,-2.1,7.6,4.2,30244,138,86,3,3.5,2,538|5479|6729,ATP7A|PPIB|SRP54,-0.02,MyList
DisGeNET,35,C0153452,Malignant neoplasm of gallbladder,,-2.1,4.1,3.5,30244,425,86,5,5.8,2.5,353|3320|3329|3417|5230,APRT|HSP90AA1|HSPD1|IDH1|PGK1,-0.014,MyList
DisGeNET,35,C4552766,Miscarriage,,-2.1,4.1,3.5,30244,426,86,5,5.8,2.5,353|2023|3329|5226|5236,APRT|ENO1|HSPD1|PGD|PGM1,-0.011,MyList
DisGeNET,35,C4552810,"Irritability, CTCAE",,-2.1,7.5,4.1,30244,140,86,3,3.5,2,2203|3704|26227,FBP1|ITPA|PHGDH,-0.008,MyList
